Experiment, Sample, Type,  Number of Nodes, Best Know Solution, Random route Solution, QBSolv classic, QBSolv classic full TSP, QB classic time 
185,ulysses22,TSP,22,7013,14809.61904761905,6758,6960,8.911072015762329
186,ulysses22,TSP,22,7013,14809.61904761905,6489,6691,6.983499765396118
187,ulysses22,TSP,22,7013,14809.61904761905,6619,6821,6.967622518539429
188,ulysses22,TSP,22,7013,14809.61904761905,7250,7452,5.866840362548828
189,ulysses22,TSP,22,7013,14809.61904761905,7237,7439,5.717377424240112
190,ulysses22,TSP,22,7013,14809.61904761905,6743,6945,7.412235975265503
191,ulysses22,TSP,22,7013,14809.61904761905,6894,7096,6.884309530258179
192,ulysses22,TSP,22,7013,14809.61904761905,7149,7351,5.767356872558594
193,ulysses22,TSP,22,7013,14809.61904761905,6609,6811,7.655744314193726
194,ulysses22,TSP,22,7013,14809.61904761905,6439,6641,9.393014907836914
195,ulysses22,TSP,22,7013,14809.61904761905,7067,7269,6.2030720710754395
196,ulysses22,TSP,22,7013,14809.61904761905,7321,7523,5.76902174949646
197,ulysses22,TSP,22,7013,14809.61904761905,6781,6983,6.447023391723633
198,ulysses22,TSP,22,7013,14809.61904761905,6620,6822,10.363984823226929
199,ulysses22,TSP,22,7013,14809.61904761905,7203,7405,6.463540315628052
200,ulysses22,TSP,22,7013,14809.61904761905,6743,6945,8.724175214767456
201,bayg29,TSP,29,1610,4736.642857142858,2347,2492,15.518763065338135
202,bayg29,TSP,29,1610,4736.642857142858,2402,2547,10.0880708694458
203,bayg29,TSP,29,1610,4736.642857142858,2297,2442,10.56920337677002
204,bayg29,TSP,29,1610,4736.642857142858,2312,2457,9.800639867782593
205,bayg29,TSP,29,1610,4736.642857142858,2315,2460,12.532641172409058
206,bayg29,TSP,29,1610,4736.642857142858,2228,2373,9.930558919906616
207,bayg29,TSP,29,1610,4736.642857142858,2304,2449,12.700977087020874
208,bayg29,TSP,29,1610,4736.642857142858,2255,2400,10.222875118255615
209,bayg29,TSP,29,1610,4736.642857142858,2227,2372,10.628552436828613
210,bayg29,TSP,29,1610,4736.642857142858,2354,2499,9.18735122680664
211,bayg29,TSP,29,1610,4736.642857142858,2374,2519,10.565475225448608
212,bayg29,TSP,29,1610,4736.642857142858,2122,2267,13.965632200241089
213,bayg29,TSP,29,1610,4736.642857142858,2410,2555,9.1422119140625
214,bayg29,TSP,29,1610,4736.642857142858,2372,2517,8.825474977493286
215,bayg29,TSP,29,1610,4736.642857142858,2388,2533,8.99784517288208
216,bayg29,TSP,29,1610,4736.642857142858,2001,2146,12.138963460922241
217,bayg29,TSP,29,1610,4736.642857142858,2422,2567,9.982592105865479
218,bayg29,TSP,29,1610,4736.642857142858,2353,2498,11.557160139083862
219,bayg29,TSP,29,1610,4736.642857142858,2375,2520,8.602840185165405
220,bayg29,TSP,29,1610,4736.642857142858,2361,2506,11.617737054824829
221,bayg29,TSP,29,1610,4736.642857142858,2311,2456,8.371801376342773
222,bayg29,TSP,29,1610,4736.642857142858,2345,2490,8.455543279647827
223,bayg29,TSP,29,1610,4736.642857142858,2372,2517,8.391591310501099
224,bayg29,TSP,29,1610,4736.642857142858,2230,2375,9.584420919418335
225,bayg29,TSP,29,1610,4736.642857142858,2384,2529,8.065884828567505
226,bayg29,TSP,29,1610,4736.642857142858,2356,2501,8.858527421951294
227,bayg29,TSP,29,1610,4736.642857142858,2315,2460,9.355385303497314
228,bayg29,TSP,29,1610,4736.642857142858,2306,2451,8.676646709442139
229,bayg29,TSP,29,1610,4736.642857142858,2383,2528,8.460051774978638
230,bayg29,TSP,29,1610,4736.642857142858,2326,2471,10.413395881652832
231,bayg29,TSP,29,1610,4736.642857142858,2250,2395,10.770642757415771
232,bayg29,TSP,29,1610,4736.642857142858,2454,2599,9.246804475784302
233,bayg29,TSP,29,1610,4736.642857142858,2470,2615,8.615335702896118
234,bayg29,TSP,29,1610,4736.642857142858,2348,2493,10.309447526931763
235,bayg29,TSP,29,1610,4736.642857142858,2337,2482,8.322190761566162
236,bayg29,TSP,29,1610,4736.642857142858,2399,2544,8.465356349945068
237,bayg29,TSP,29,1610,4736.642857142858,2398,2543,8.684037685394287
238,bayg29,TSP,29,1610,4736.642857142858,2367,2512,8.94837737083435
239,bayg29,TSP,29,1610,4736.642857142858,2200,2345,9.967890739440918
240,bayg29,TSP,29,1610,4736.642857142858,2374,2519,9.036807775497437
241,bayg29,TSP,29,1610,4736.642857142858,2312,2457,11.907320499420166
242,bayg29,TSP,29,1610,4736.642857142858,2038,2183,10.14496374130249
243,bayg29,TSP,29,1610,4736.642857142858,2088,2233,12.180674314498901
244,bayg29,TSP,29,1610,4736.642857142858,2268,2413,9.520561695098877
245,bayg29,TSP,29,1610,4736.642857142858,2349,2494,14.320485353469849
246,bayg29,TSP,29,1610,4736.642857142858,2408,2553,9.30728554725647
247,bayg29,TSP,29,1610,4736.642857142858,2334,2479,13.753721714019775
248,bayg29,TSP,29,1610,4736.642857142858,2310,2455,10.604073524475098
249,bayg29,TSP,29,1610,4736.642857142858,2241,2386,9.163041114807129
250,bayg29,TSP,29,1610,4736.642857142858,2366,2511,11.035264730453491
251,bayg29,TSP,29,1610,4736.642857142858,2324,2469,9.595390796661377
252,bayg29,TSP,29,1610,4736.642857142858,2472,2617,10.433408260345459
253,bayg29,TSP,29,1610,4736.642857142858,2328,2473,11.19420838356018
254,bayg29,TSP,29,1610,4736.642857142858,2331,2476,8.550297021865845
255,bayg29,TSP,29,1610,4736.642857142858,2349,2494,9.716334104537964
256,bayg29,TSP,29,1610,4736.642857142858,2439,2584,9.030181169509888
257,bayg29,TSP,29,1610,4736.642857142858,2373,2518,13.43341875076294
258,bayg29,TSP,29,1610,4736.642857142858,2359,2504,11.302675724029541
259,bayg29,TSP,29,1610,4736.642857142858,2325,2470,9.5359046459198
260,bayg29,TSP,29,1610,4736.642857142858,2439,2584,10.582864761352539
261,bayg29,TSP,29,1610,4736.642857142858,2291,2436,12.487818956375122
262,bayg29,TSP,29,1610,4736.642857142858,2405,2550,8.670495510101318
263,bayg29,TSP,29,1610,4736.642857142858,2376,2521,8.858625888824463
264,bayg29,TSP,29,1610,4736.642857142858,2346,2491,11.477201700210571
265,bayg29,TSP,29,1610,4736.642857142858,2406,2551,9.708908796310425
266,bayg29,TSP,29,1610,4736.642857142858,2362,2507,10.682123184204102
267,bayg29,TSP,29,1610,4736.642857142858,2253,2398,13.767771482467651
268,bayg29,TSP,29,1610,4736.642857142858,2284,2429,10.154386758804321
269,bayg29,TSP,29,1610,4736.642857142858,2295,2440,9.81614899635315
270,bayg29,TSP,29,1610,4736.642857142858,2312,2457,9.394180536270142
271,bayg29,TSP,29,1610,4736.642857142858,2359,2504,9.53858757019043
272,bayg29,TSP,29,1610,4736.642857142858,2337,2482,11.492137432098389
273,bayg29,TSP,29,1610,4736.642857142858,2351,2496,13.030509233474731
274,bayg29,TSP,29,1610,4736.642857142858,2289,2434,10.40999460220337
275,bayg29,TSP,29,1610,4736.642857142858,2308,2453,11.921784400939941
276,bayg29,TSP,29,1610,4736.642857142858,2188,2333,11.004181623458862
277,bayg29,TSP,29,1610,4736.642857142858,2295,2440,10.336332559585571
278,bayg29,TSP,29,1610,4736.642857142858,2283,2428,14.35042142868042
279,bayg29,TSP,29,1610,4736.642857142858,2378,2523,12.242966890335083
280,bayg29,TSP,29,1610,4736.642857142858,2190,2335,13.855629682540894
281,bayg29,TSP,29,1610,4736.642857142858,2467,2612,10.027495861053467
282,bayg29,TSP,29,1610,4736.642857142858,2174,2319,9.778680324554443
283,bayg29,TSP,29,1610,4736.642857142858,2290,2435,10.194584846496582
284,bayg29,TSP,29,1610,4736.642857142858,2279,2424,9.123128890991211
285,bayg29,TSP,29,1610,4736.642857142858,2418,2563,12.696280479431152
286,bayg29,TSP,29,1610,4736.642857142858,2364,2509,9.78927493095398
287,bayg29,TSP,29,1610,4736.642857142858,2208,2353,9.241189241409302
288,bayg29,TSP,29,1610,4736.642857142858,2399,2544,9.337321758270264
289,bayg29,TSP,29,1610,4736.642857142858,2402,2547,11.536088705062866
290,bayg29,TSP,29,1610,4736.642857142858,2278,2423,11.348365783691406
291,bayg29,TSP,29,1610,4736.642857142858,2249,2394,13.603976964950562
292,bayg29,TSP,29,1610,4736.642857142858,2295,2440,9.294944047927856
293,bayg29,TSP,29,1610,4736.642857142858,2431,2576,9.51528787612915
294,bayg29,TSP,29,1610,4736.642857142858,2386,2531,8.604367017745972
295,bayg29,TSP,29,1610,4736.642857142858,2311,2456,11.868129014968872
296,bayg29,TSP,29,1610,4736.642857142858,2317,2462,11.090935230255127
297,bayg29,TSP,29,1610,4736.642857142858,2294,2439,8.783850908279419
298,bayg29,TSP,29,1610,4736.642857142858,2209,2354,13.60661005973816
299,bayg29,TSP,29,1610,4736.642857142858,2316,2461,8.990036487579346
300,bayg29,TSP,29,1610,4736.642857142858,2343,2488,8.601747512817383
301,gr21,TSP,21,2707,7641.6,3631,4011,7.016773223876953
302,gr21,TSP,21,2707,7641.6,3800,4180,5.025058269500732
303,gr21,TSP,21,2707,7641.6,3671,4051,12.00093126296997
304,gr21,TSP,21,2707,7641.6,3832,4212,5.336863279342651
305,gr21,TSP,21,2707,7641.6,3681,4061,5.1293909549713135
306,gr21,TSP,21,2707,7641.6,3736,4116,6.161167860031128
307,gr21,TSP,21,2707,7641.6,3558,3938,5.256700038909912
308,gr21,TSP,21,2707,7641.6,3533,3913,10.867947101593018
309,gr21,TSP,21,2707,7641.6,3686,4066,9.413097381591797
310,gr21,TSP,21,2707,7641.6,3793,4173,5.4519805908203125
311,gr21,TSP,21,2707,7641.6,3704,4084,8.886550188064575
312,gr21,TSP,21,2707,7641.6,3824,4204,7.574947118759155
313,gr21,TSP,21,2707,7641.6,3574,3954,5.874771356582642
314,gr21,TSP,21,2707,7641.6,3171,3551,4.8269853591918945
315,gr21,TSP,21,2707,7641.6,3436,3816,6.855200290679932
316,gr21,TSP,21,2707,7641.6,3686,4066,5.8596415519714355
317,gr21,TSP,21,2707,7641.6,3710,4090,6.64909291267395
318,gr21,TSP,21,2707,7641.6,3752,4132,8.706724405288696
319,gr21,TSP,21,2707,7641.6,3648,4028,6.851081371307373
320,gr21,TSP,21,2707,7641.6,3549,3929,4.599086284637451
321,gr21,TSP,21,2707,7641.6,3765,4145,11.467942237854004
322,gr21,TSP,21,2707,7641.6,3816,4196,6.8251729011535645
323,gr21,TSP,21,2707,7641.6,3640,4020,5.760370492935181
324,gr21,TSP,21,2707,7641.6,3578,3958,6.784657001495361
325,gr21,TSP,21,2707,7641.6,3722,4102,10.580338954925537
326,gr21,TSP,21,2707,7641.6,3305,3685,7.6354241371154785
327,gr21,TSP,21,2707,7641.6,3828,4208,6.932143211364746
328,gr21,TSP,21,2707,7641.6,3704,4084,7.987589597702026
329,gr21,TSP,21,2707,7641.6,3883,4263,7.895045518875122
330,gr21,TSP,21,2707,7641.6,3730,4110,11.826976776123047
331,gr21,TSP,21,2707,7641.6,3629,4009,4.805876016616821
332,gr21,TSP,21,2707,7641.6,4062,4442,4.593657493591309
333,gr21,TSP,21,2707,7641.6,3357,3737,4.77204966545105
334,gr21,TSP,21,2707,7641.6,3706,4086,6.264482259750366
335,gr21,TSP,21,2707,7641.6,3831,4211,4.671315908432007
336,gr21,TSP,21,2707,7641.6,3335,3715,6.606598615646362
337,gr21,TSP,21,2707,7641.6,3475,3855,5.841160297393799
338,gr21,TSP,21,2707,7641.6,3794,4174,5.3933069705963135
339,gr21,TSP,21,2707,7641.6,3585,3965,5.706828594207764
340,gr21,TSP,21,2707,7641.6,3782,4162,6.730972766876221
341,gr21,TSP,21,2707,7641.6,3125,3505,6.671093225479126
342,gr21,TSP,21,2707,7641.6,3296,3676,13.167701244354248
343,gr21,TSP,21,2707,7641.6,3309,3689,7.873023986816406
344,gr21,TSP,21,2707,7641.6,3549,3929,7.308015823364258
345,gr21,TSP,21,2707,7641.6,3797,4177,7.227149486541748
346,gr21,TSP,21,2707,7641.6,3477,3857,9.724174499511719
347,gr21,TSP,21,2707,7641.6,3718,4098,7.25282621383667
348,gr21,TSP,21,2707,7641.6,3695,4075,13.644951343536377
349,gr21,TSP,21,2707,7641.6,3746,4126,5.885273456573486
350,gr21,TSP,21,2707,7641.6,3602,3982,8.000163316726685
351,gr21,TSP,21,2707,7641.6,3635,4015,5.749743461608887
352,gr21,TSP,21,2707,7641.6,3807,4187,10.036212682723999
353,gr21,TSP,21,2707,7641.6,3401,3781,7.576601505279541
354,gr21,TSP,21,2707,7641.6,3758,4138,6.568296909332275
355,gr21,TSP,21,2707,7641.6,3704,4084,5.680906772613525
356,gr21,TSP,21,2707,7641.6,3622,4002,5.810550212860107
357,gr21,TSP,21,2707,7641.6,3780,4160,5.98955774307251
358,gr21,TSP,21,2707,7641.6,3235,3615,8.17133116722107
359,gr21,TSP,21,2707,7641.6,3530,3910,11.083695888519287
360,gr21,TSP,21,2707,7641.6,3587,3967,8.787043333053589
361,gr21,TSP,21,2707,7641.6,3703,4083,7.756824254989624
362,gr21,TSP,21,2707,7641.6,3507,3887,7.580878973007202
363,gr21,TSP,21,2707,7641.6,3730,4110,8.553584337234497
364,gr21,TSP,21,2707,7641.6,3728,4108,14.374656677246094
365,gr21,TSP,21,2707,7641.6,3904,4284,7.905017614364624
366,gr21,TSP,21,2707,7641.6,3634,4014,11.591826438903809
367,gr21,TSP,21,2707,7641.6,3821,4201,6.574585914611816
368,gr21,TSP,21,2707,7641.6,3813,4193,9.558932304382324
369,gr21,TSP,21,2707,7641.6,3706,4086,7.469512462615967
